node,rank
Category:Named_minor_planets,5.706751951722581
Category:Living_people,4.011164679659135
Category:Background_asteroids,3.7841549670079986
Category:Academic_Knowledge_and_Research_Publishing_academic_journals,2.8274999999999997
Category:Research_and_Knowledge_Publication_academic_journals,2.0625
Category:Discoveries_by_LINEAR,1.353660714285714
Association_football,1.2669981909386343
Science_Publishing_Group,1.23375
3rd_millennium,1.17
United_States,1.0271375875009263
Category:Astronomical_objects_discovered_in_1999,1.022767857142857
A_(women's_basketball),1.0073843368182882
Africa_Zone_Group_I_–_Pool_A_(Tallinn),1.0
30_HP,1.0
38-caliber_gun,1.0
or,1.0
Murder_Is_My_Hobby,1.0
4th_Lancers_Regiment,1.0
1000_(number),0.915
800_(number),0.9149999999999999
List_of_minor_planets:_8001–9000,0.8640000000000002
List_of_minor_planets:_5001–6000,0.8501875
Category:Astronomical_objects_discovered_in_1998,0.833642857142857
American_football,0.7975568681898808
Timeline_of_the_far_future,0.7900499999999999
Anglican_Diocese_of_Melbourne,0.7875
37th_century_BC,0.7875
Moth,0.763468965062715
Category:Year_of_birth_missing_(living_people),0.7194774237435733
Category:Astronomical_objects_discovered_in_2000,0.709859756097561
Beetle,0.7054313394938395
List_of_minor_planets:_4001–5000,0.6906354166666667
Iran,0.6667884338727947
A_roads_in_Zone_6_of_the_Great_Britain_numbering_scheme,0.6641682692307692
Adobe_Photoshop,0.66370113805047
20th_century_BC,0.66
A_roads_in_Zone_4_of_the_Great_Britain_numbering_scheme,0.66
List_of_numbered_streets_in_Manhattan,0.66
Orders_of_magnitude_(length),0.66
A_roads_in_Zone_5_of_the_Great_Britain_numbering_scheme,0.66
List_of_minor_planets:_7001–8000,0.6461875
Democratic_Party_(United_States),0.6240913521302769
Republican_Party_(United_States),0.6200442976734586
Cerambycidae,0.6151625
Category:Place_of_birth_missing_(living_people),0.6078551427599649
World_War_II,0.6006802421739278
Tennis,0.5989426871825411
List_of_minor_planets:_9001–10000,0.5976666666666666
India,0.5953205677079348
Category:Astronomical_objects_discovered_in_1991,0.5906477272727272
France,0.5783732187229015
Conservative_Party_(UK),0.540596208336374
1981_Oakland_Raiders_season,0.533134328358209
Anglican_Church_of_Australia,0.5325
Anglican_dioceses_of_Buganda,0.5325
List_of_AMD_accelerated_processing_units,0.5325
2008–09_Alabama–Huntsville_Chargers_men's_ice_hockey_season,0.5325
Almetyevsky_District,0.5325
Amblyseius,0.5325
7th_century_in_poetry,0.5325
ATC_code_C03,0.5325
List_of_Saudi_detainees_at_Guantanamo_Bay,0.5325
List_of_Frisk_Tigers_seasons,0.5325
SEPTA_Route_36,0.5325
January_6_United_States_Capitol_attack,0.5325
24th_century_BC,0.5325
List_of_Trondheim_Black_Panthers_seasons,0.5325
Abu_al-Wafa'_Buzjani,0.5325
Category:Academic_and_Scientific_Publishing_academic_journals,0.5325
2000_(number),0.5325
21st_Horse_(Central_India_Horse),0.5325
Film_speed,0.5325
List_of_years_in_science,0.5325
Acta_Crystallographica,0.5325
Aliabad,0.5325
Golden_ratio,0.5325
List_of_terrorist_attacks_in_Kabul,0.5325
Category:Flora_asteroids,0.5292171474358974
Russia,0.5187052618315732
Category:Discoveries_by_SCAP,0.513375
List_of_minor_planets:_3001–4000,0.5059375
Italy,0.5054653201581029
England,0.504888213185379
Category:Discoveries_by_Eric_Walter_Elst,0.50275
List_of_minor_planets:_15001–16000,0.500625
Category:Koronis_asteroids,0.49830427631578944
List_of_Dáil_by-elections,0.4951
Australia,0.49292966810366545
London,0.4841968731756403
Category:Discoveries_by_the_Catalina_Sky_Survey,0.48150000000000004
Species,0.47984369705600305
List_of_countries,0.4697307692307693
List_of_Alberta_provincial_highways,0.46875
Iran_Daylight_Time,0.4612307692307692
Counties_of_Iran,0.4612307692307692
Rural_Districts_of_Iran,0.4612307692307692
Provinces_of_Iran,0.4612307692307692
Bakhsh,0.4612307692307692
Iran_Standard_Time,0.4612307692307691
Brazil,0.4582075013011515
